table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_ftes,field_r_d_function_researchers,field_r_d_function_r_d_technicians,field_r_d_function_r_d_support_staff
12497,r370,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA),All agencies,Other agencies,National Aeronautics and Space Administration (NASA),,,,3,,,,
12497,r371,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Ames Research Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Ames Research Center,,,4,NA,NA,NA,NA
12497,r372,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Armstrong (Dryden) Flight Research Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Armstrong (Dryden) Flight Research Center,,,4,NA,NA,NA,NA
12497,r373,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Glenn Research Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Glenn Research Center,,,4,NA,NA,NA,NA
12497,r374,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Goddard Space Flight Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Goddard Space Flight Center,,,4,NA,NA,NA,NA
12497,r375,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Johnson Space Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Johnson Space Center,,,4,NA,NA,NA,NA
12497,r376,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Kennedy Space Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Kennedy Space Center,,,4,NA,NA,NA,NA
12497,r377,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Langley Research Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Langley Research Center,,,4,NA,NA,NA,NA
12497,r378,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Marshall Space Flight Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Marshall Space Flight Center,,,4,NA,NA,NA,NA
12497,r379,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> NASA Headquarters,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),NASA Headquarters,,,4,NA,NA,NA,NA
12497,r380,All agencies -> Other agencies -> National Aeronautics and Space Administration (NASA) -> Stennis Space Center,All agencies,Other agencies,National Aeronautics and Space Administration (NASA),Stennis Space Center,,,4,NA,NA,NA,NA
12497,r381,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,,3,,,,
12497,r382,All agencies -> Other agencies -> Smithsonian Institution -> Archives of American Art,All agencies,Other agencies,Smithsonian Institution,Archives of American Art,,,4,NA,NA,NA,NA
12497,r383,All agencies -> Other agencies -> Smithsonian Institution -> Center for Astrophysics,All agencies,Other agencies,Smithsonian Institution,Center for Astrophysics,,,4,,,,
12497,r384,All agencies -> Other agencies -> Smithsonian Institution -> Center for Astrophysics -> Smithsonian Astrophysical Observatory,All agencies,Other agencies,Smithsonian Institution,Center for Astrophysics,Smithsonian Astrophysical Observatory,,5,NA,NA,NA,NA
12497,r385,All agencies -> Other agencies -> Smithsonian Institution -> National Museum of Natural History,All agencies,Other agencies,Smithsonian Institution,National Museum of Natural History,,,4,NA,NA,NA,NA
12497,r386,All agencies -> Other agencies -> Smithsonian Institution -> Smithsonian Conservation Biology Institute,All agencies,Other agencies,Smithsonian Institution,Smithsonian Conservation Biology Institute,,,4,NA,NA,NA,NA
12497,r387,All agencies -> Other agencies -> Smithsonian Institution -> Smithsonian Environmental Research Center,All agencies,Other agencies,Smithsonian Institution,Smithsonian Environmental Research Center,,,4,NA,NA,NA,NA
12497,r388,All agencies -> Other agencies -> Smithsonian Institution -> Smithsonian Tropical Research Institute,All agencies,Other agencies,Smithsonian Institution,Smithsonian Tropical Research Institute,,,4,NA,NA,NA,NA
