table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
8140,r225_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,306
8140,r225_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Bioengineering and biomedical engineering
8140,r225_9,,SED field of study information,Start year,,2,1969
8140,r225_10,,SED field of study information,End year,,2,Present
8140,r226_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7703
8140,r226_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Engineering mechanics, physics, and science"
8140,r226_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,327
8140,r226_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Engineering mechanics
8140,r226_9,,SED field of study information,Start year,,2,1958
8140,r226_10,,SED field of study information,End year,,2,Present
8140,r227_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,330
8140,r227_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Engineering physics
8140,r227_9,,SED field of study information,Start year,,2,1958
8140,r227_10,,SED field of study information,End year,,2,Present
8140,r228_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,333
8140,r228_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Engineering science
8140,r228_9,,SED field of study information,Start year,,2,1983
8140,r228_10,,SED field of study information,End year,,2,Present
8140,r229_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7704
8140,r229_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Industrial and manufacturing engineering
8140,r229_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,339
8140,r229_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Industrial and manufacturing engineering
8140,r229_9,,SED field of study information,Start year,,2,1958
8140,r229_10,,SED field of study information,End year,,2,Present
8140,r230_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,363
8140,r230_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Operations research (engineering)
8140,r230_9,,SED field of study information,Start year,,2,1971
8140,r230_10,,SED field of study information,End year,,2,Present
8140,r231_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,372
8140,r231_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Systems engineering
8140,r231_9,,SED field of study information,Start year,,2,1975
8140,r231_10,,SED field of study information,End year,,2,Present
8140,r232_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7705
8140,r232_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Nuclear engineering
8140,r232_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,357
8140,r232_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nuclear engineering
8140,r232_9,,SED field of study information,Start year,,2,1969
8140,r232_10,,SED field of study information,End year,,2,Present
8140,r233_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,7706
8140,r233_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Engineering, other"
8140,r233_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,68
8140,r233_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forest engineering
8140,r233_9,,SED field of study information,Start year,,2,1988
8140,r233_10,,SED field of study information,End year,,2,2003
8140,r234_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,354
8140,r234_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Naval architecture/ marine engineering
8140,r234_9,,SED field of study information,Start year,,2,1983
8140,r234_10,,SED field of study information,End year,,2,1991
8140,r235_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,360
8140,r235_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Ocean engineering
8140,r235_9,,SED field of study information,Start year,,2,1983
8140,r235_10,,SED field of study information,End year,,2,Present
8140,r236_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,366
8140,r236_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Petroleum engineering
8140,r236_9,,SED field of study information,Start year,,2,1973
8140,r236_10,,SED field of study information,End year,,2,Present
8140,r237_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,398
8140,r237_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Engineering, general"
8140,r237_9,,SED field of study information,Start year,,2,1958
8140,r237_10,,SED field of study information,End year,,2,Present
8140,r238_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,399
8140,r238_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Engineering, other"
8140,r238_9,,SED field of study information,Start year,,2,1958
8140,r238_10,,SED field of study information,End year,,2,Present
8140,r239_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,547
8140,r239_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fuel technology/ petroleum engineering
8140,r239_9,,SED field of study information,Start year,,2,1967
8140,r239_10,,SED field of study information,End year,,2,1979
8140,r240_1,Health,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,8
8140,r240_2,Health,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Health
8140,r240_3,Health,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,81
8140,r240_4,Health,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Health
8140,r240_5,Health,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8101
8140,r240_6,Health,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Communication disorders sciences and services
8140,r240_7,Health,SED field of study information,Fine field (PHDFIELD)a,Code,3,200
8140,r240_8,Health,SED field of study information,Fine field (PHDFIELD)a,Label,3,Speech-language pathology and audiology
8140,r240_9,Health,SED field of study information,Start year,,2,1963
8140,r240_10,Health,SED field of study information,End year,,2,Present
8140,r241_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8102
8140,r241_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Hospital and medical administration services
8140,r241_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,212
8140,r241_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Health systems/ service administration
8140,r241_9,,SED field of study information,Start year,,2,1993
8140,r241_10,,SED field of study information,End year,,2,Present
8140,r242_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,219
8140,r242_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Public health/ epidemiology
8140,r242_9,,SED field of study information,Start year,,2,1958
8140,r242_10,,SED field of study information,End year,,2,1982
8140,r243_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,224
8140,r243_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Hospital administration
8140,r243_9,,SED field of study information,Start year,,2,1958
8140,r243_10,,SED field of study information,End year,,2,1977
8140,r244_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8103
8140,r244_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Pharmacy, pharmaceutical sciences, and administration"
8140,r244_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,225
8140,r244_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Medicine and surgery
8140,r244_9,,SED field of study information,Start year,,2,1958
8140,r244_10,,SED field of study information,End year,,2,1976
8140,r245_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,240
8140,r245_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Pharmaceutical sciences
8140,r245_9,,SED field of study information,Start year,,2,1958
8140,r245_10,,SED field of study information,End year,,2,Present
8140,r246_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,528
8140,r246_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Medicinal/ pharmaceutical
8140,r246_9,,SED field of study information,Start year,,2,1958
8140,r246_10,,SED field of study information,End year,,2,Present
8140,r247_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8104
8140,r247_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Public health
8140,r247_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,210
8140,r247_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental health
8140,r247_9,,SED field of study information,Start year,,2,1972
8140,r247_10,,SED field of study information,End year,,2,Present
8140,r248_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,213
8140,r248_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Health services research
8140,r248_9,,SED field of study information,Start year,,2,2016
8140,r248_10,,SED field of study information,End year,,2,Present
8140,r249_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,215
8140,r249_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Public health
8140,r249_9,,SED field of study information,Start year,,2,1978
8140,r249_10,,SED field of study information,End year,,2,Present
8140,r250_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,280
8140,r250_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Health and behavior
8140,r250_9,,SED field of study information,Start year,,2,2014
8140,r250_10,,SED field of study information,End year,,2,Present
8140,r251_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,577
8140,r251_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Medical physics/ radiological science
8140,r251_9,,SED field of study information,Start year,,2,2010
8140,r251_10,,SED field of study information,End year,,2,Present
8140,r252_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8105
8140,r252_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Registered nursing, nursing administration, nursing research"
8140,r252_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,230
8140,r252_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nursing science
8140,r252_9,,SED field of study information,Start year,,2,1977
8140,r252_10,,SED field of study information,End year,,2,Present
8140,r253_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,8106
8140,r253_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Health sciences, other"
8140,r253_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,207
8140,r253_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Oral biology/ oral pathology
8140,r253_9,,SED field of study information,Start year,,2,2010
8140,r253_10,,SED field of study information,End year,,2,Present
8140,r254_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,222
8140,r254_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Kinesiology/ exercise science
8140,r254_9,,SED field of study information,Start year,,2,1994
8140,r254_10,,SED field of study information,End year,,2,Present
8140,r255_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,227
8140,r255_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Gerontology
8140,r255_9,,SED field of study information,Start year,,2,2010
8140,r255_10,,SED field of study information,End year,,2,Present
8140,r256_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,245
8140,r256_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Rehabilitation/ therapeutic services
8140,r256_9,,SED field of study information,Start year,,2,1991
8140,r256_10,,SED field of study information,End year,,2,Present
8140,r257_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,250
8140,r257_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Veterinary sciences
8140,r257_9,,SED field of study information,Start year,,2,1958
8140,r257_10,,SED field of study information,End year,,2,Present
8140,r258_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,298
8140,r258_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Health sciences, general"
8140,r258_9,,SED field of study information,Start year,,2,1962
8140,r258_10,,SED field of study information,End year,,2,Present
8140,r259_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,299
8140,r259_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Health sciences, other"
8140,r259_9,,SED field of study information,Start year,,2,1958
8140,r259_10,,SED field of study information,End year,,2,Present
8140,r260_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,610
8140,r260_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Marriage and family therapy/ counseling
8140,r260_9,,SED field of study information,Start year,,2,2016
8140,r260_10,,SED field of study information,End year,,2,Present
